payment_id,customer_id,amount,profile,subscription_months,successful_payments,failed_payments,avg_delay_days,reminder_success_rate,failure_reason,attempt_number,action,recovery_probability_true,recovered
P000001,C06253,499,churn_risk,4,4,9,12.53,0.19,authentication_failed,3,WAIT,0.3391,0
P000001,C06253,499,churn_risk,4,4,9,12.53,0.19,authentication_failed,3,RETRY,0.05,0
P000001,C06253,499,churn_risk,4,4,9,12.53,0.19,authentication_failed,3,REMINDER,0.4736,1
P000001,C06253,499,churn_risk,4,4,9,12.53,0.19,authentication_failed,3,PAYMENT_LINK,0.6798,0
P000002,C04685,499,frequent_failure,7,8,5,7.6,0.32,bank_error,1,WAIT,0.671,0
P000002,C04685,499,frequent_failure,7,8,5,7.6,0.32,bank_error,1,RETRY,0.8007,1
P000002,C04685,499,frequent_failure,7,8,5,7.6,0.32,bank_error,1,REMINDER,0.3423,0
P000002,C04685,499,frequent_failure,7,8,5,7.6,0.32,bank_error,1,PAYMENT_LINK,0.5666,0
P000003,C01732,499,churn_risk,10,2,8,5.15,0.09,authentication_failed,2,WAIT,0.2766,1
P000003,C01732,499,churn_risk,10,2,8,5.15,0.09,authentication_failed,2,RETRY,0.1591,1
P000003,C01732,499,churn_risk,10,2,8,5.15,0.09,authentication_failed,2,REMINDER,0.3865,1
P000003,C01732,499,churn_risk,10,2,8,5.15,0.09,authentication_failed,2,PAYMENT_LINK,0.7849,1
P000004,C04743,499,reliable,29,11,0,0.64,0.86,authentication_failed,1,WAIT,0.5018,0
P000004,C04743,499,reliable,29,11,0,0.64,0.86,authentication_failed,1,RETRY,0.3373,1
P000004,C04743,499,reliable,29,11,0,0.64,0.86,authentication_failed,1,REMINDER,0.9104,1
P000004,C04743,499,reliable,29,11,0,0.64,0.86,authentication_failed,1,PAYMENT_LINK,0.9195,0
P000005,C04522,499,reliable,27,8,2,0.58,0.72,insufficient_funds,3,WAIT,0.7375,0
P000005,C04522,499,reliable,27,8,2,0.58,0.72,insufficient_funds,3,RETRY,0.1684,0
P000005,C04522,499,reliable,27,8,2,0.58,0.72,insufficient_funds,3,REMINDER,0.7348,1
P000005,C04522,499,reliable,27,8,2,0.58,0.72,insufficient_funds,3,PAYMENT_LINK,0.7118,0
P000006,C06341,499,churn_risk,4,6,7,6.92,0.22,authentication_failed,1,WAIT,0.3055,0
P000006,C06341,499,churn_risk,4,6,7,6.92,0.22,authentication_failed,1,RETRY,0.1916,0
P000006,C06341,499,churn_risk,4,6,7,6.92,0.22,authentication_failed,1,REMINDER,0.4812,1
P000006,C06341,499,churn_risk,4,6,7,6.92,0.22,authentication_failed,1,PAYMENT_LINK,0.7218,0
P000007,C00577,499,reliable,24,21,2,0.03,0.89,authentication_failed,1,WAIT,0.4603,0
P000007,C00577,499,reliable,24,21,2,0.03,0.89,authentication_failed,1,RETRY,0.2738,0
P000007,C00577,499,reliable,24,21,2,0.03,0.89,authentication_failed,1,REMINDER,0.8918,1
P000007,C00577,499,reliable,24,21,2,0.03,0.89,authentication_failed,1,PAYMENT_LINK,0.9125,1
P000008,C05203,499,occasionally_late,17,10,4,1.25,0.71,insufficient_funds,1,WAIT,0.5821,1
P000008,C05203,499,occasionally_late,17,10,4,1.25,0.71,insufficient_funds,1,RETRY,0.3747,1
P000008,C05203,499,occasionally_late,17,10,4,1.25,0.71,insufficient_funds,1,REMINDER,0.6428,1
P000008,C05203,499,occasionally_late,17,10,4,1.25,0.71,insufficient_funds,1,PAYMENT_LINK,0.6095,1
P000009,C06364,499,occasionally_late,21,17,4,1.42,0.69,payment_method_issue,1,WAIT,0.5121,0
P000009,C06364,499,occasionally_late,21,17,4,1.42,0.69,payment_method_issue,1,RETRY,0.4502,0
P000009,C06364,499,occasionally_late,21,17,4,1.42,0.69,payment_method_issue,1,REMINDER,0.786,1
P000009,C06364,499,occasionally_late,21,17,4,1.42,0.69,payment_method_issue,1,PAYMENT_LINK,0.8986,1
P000010,C00440,499,reliable,19,11,1,0.86,0.86,authentication_failed,1,WAIT,0.5085,1
P000010,C00440,499,reliable,19,11,1,0.86,0.86,authentication_failed,1,RETRY,0.3806,0
P000010,C00440,499,reliable,19,11,1,0.86,0.86,authentication_failed,1,REMINDER,0.8918,1
P000010,C00440,499,reliable,19,11,1,0.86,0.86,authentication_failed,1,PAYMENT_LINK,0.8134,0
P000011,C02751,499,reliable,36,7,2,0.89,0.99,insufficient_funds,1,WAIT,0.7391,1
P000011,C02751,499,reliable,36,7,2,0.89,0.99,insufficient_funds,1,RETRY,0.3562,1
P000011,C02751,499,reliable,36,7,2,0.89,0.99,insufficient_funds,1,REMINDER,0.7993,1
P000011,C02751,499,reliable,36,7,2,0.89,0.99,insufficient_funds,1,PAYMENT_LINK,0.6982,1
P000012,C07488,499,frequent_failure,13,2,6,7.25,0.44,bank_error,1,WAIT,0.538,0
P000012,C07488,499,frequent_failure,13,2,6,7.25,0.44,bank_error,1,RETRY,0.7233,1
P000012,C07488,499,frequent_failure,13,2,6,7.25,0.44,bank_error,1,REMINDER,0.5252,0
P000012,C07488,499,frequent_failure,13,2,6,7.25,0.44,bank_error,1,PAYMENT_LINK,0.5005,0
P000013,C05273,499,reliable,20,22,1,0.06,0.95,payment_method_issue,1,WAIT,0.5621,0
P000013,C05273,499,reliable,20,22,1,0.06,0.95,payment_method_issue,1,RETRY,0.4442,0
P000013,C05273,499,reliable,20,22,1,0.06,0.95,payment_method_issue,1,REMINDER,0.839,1
P000013,C05273,499,reliable,20,22,1,0.06,0.95,payment_method_issue,1,PAYMENT_LINK,0.8891,1
P000014,C05654,499,reliable,24,8,0,0.48,1.0,payment_method_issue,2,WAIT,0.5462,0
P000014,C05654,499,reliable,24,8,0,0.48,1.0,payment_method_issue,2,RETRY,0.5125,0
P000014,C05654,499,reliable,24,8,0,0.48,1.0,payment_method_issue,2,REMINDER,0.7894,1
P000014,C05654,499,reliable,24,8,0,0.48,1.0,payment_method_issue,2,PAYMENT_LINK,0.9116,1
P000015,C04000,499,reliable,24,11,1,0.95,0.91,payment_method_issue,2,WAIT,0.5486,1
P000015,C04000,499,reliable,24,11,1,0.95,0.91,payment_method_issue,2,RETRY,0.3987,0
P000015,C04000,499,reliable,24,11,1,0.95,0.91,payment_method_issue,2,REMINDER,0.8197,1
P000015,C04000,499,reliable,24,11,1,0.95,0.91,payment_method_issue,2,PAYMENT_LINK,0.95,1
P000016,C06034,499,reliable,29,10,2,0.41,0.95,payment_method_issue,3,WAIT,0.4961,1
P000016,C06034,499,reliable,29,10,2,0.41,0.95,payment_method_issue,3,RETRY,0.2751,0
P000016,C06034,499,reliable,29,10,2,0.41,0.95,payment_method_issue,3,REMINDER,0.8325,1
P000016,C06034,499,reliable,29,10,2,0.41,0.95,payment_method_issue,3,PAYMENT_LINK,0.9104,1
P000017,C00583,499,reliable,34,25,2,0.88,0.72,payment_method_issue,3,WAIT,0.5728,1
P000017,C00583,499,reliable,34,25,2,0.88,0.72,payment_method_issue,3,RETRY,0.3587,1
P000017,C00583,499,reliable,34,25,2,0.88,0.72,payment_method_issue,3,REMINDER,0.7406,1
P000017,C00583,499,reliable,34,25,2,0.88,0.72,payment_method_issue,3,PAYMENT_LINK,0.8956,1
P000018,C09931,499,reliable,11,8,2,0.16,0.91,bank_error,3,WAIT,0.6078,1
P000018,C09931,499,reliable,11,8,2,0.16,0.91,bank_error,3,RETRY,0.6992,0
P000018,C09931,499,reliable,11,8,2,0.16,0.91,bank_error,3,REMINDER,0.776,0
P000018,C09931,499,reliable,11,8,2,0.16,0.91,bank_error,3,PAYMENT_LINK,0.6127,0
P000019,C07052,499,reliable,6,11,2,0.52,0.78,insufficient_funds,3,WAIT,0.7311,1
P000019,C07052,499,reliable,6,11,2,0.52,0.78,insufficient_funds,3,RETRY,0.1846,0
P000019,C07052,499,reliable,6,11,2,0.52,0.78,insufficient_funds,3,REMINDER,0.6853,1
P000019,C07052,499,reliable,6,11,2,0.52,0.78,insufficient_funds,3,PAYMENT_LINK,0.6253,0
P000020,C08159,499,frequent_failure,12,6,5,4.88,0.21,payment_method_issue,3,WAIT,0.4066,0
