customer_id,profile,subscription_months,successful_payments,failed_payments,avg_delay_days,reminder_success_rate,monthly_amount
C00001,reliable,34,34,0,0.78,0.88,499
C00002,reliable,16,16,0,0.6,0.91,499
C00003,churn_risk,6,4,2,14.92,0.2,499
C00004,reliable,30,30,0,0.61,0.74,499
C00005,reliable,35,32,3,0.62,0.81,499
C00006,reliable,10,8,2,0.17,0.72,499
C00007,churn_risk,2,2,0,5.16,0.11,499
C00008,occasionally_late,15,14,1,1.1,0.77,499
C00009,occasionally_late,5,5,0,1.62,0.65,499
C00010,frequent_failure,14,6,8,7.47,0.36,499
C00011,reliable,28,26,2,0.96,0.95,499
C00012,occasionally_late,16,11,5,3.41,0.48,499
C00013,frequent_failure,14,10,4,3.07,0.22,499
C00014,frequent_failure,7,3,4,6.26,0.47,499
C00015,reliable,6,6,0,0.31,0.8,499
C00016,occasionally_late,6,5,1,1.36,0.7,499
C00017,occasionally_late,17,17,0,2.57,0.6,499
C00018,reliable,36,33,3,0.48,0.87,499
C00019,reliable,12,12,0,0.76,0.77,499
C00020,reliable,27,27,0,0.62,0.79,499
C00021,reliable,17,16,1,0.89,0.86,499
C00022,frequent_failure,9,9,0,4.36,0.38,499
C00023,reliable,8,8,0,0.51,0.83,499
C00024,reliable,17,17,0,0.17,0.77,499
C00025,reliable,35,32,3,0.96,0.78,499
C00026,reliable,22,21,1,0.27,0.99,499
C00027,reliable,6,6,0,0.68,0.86,499
C00028,occasionally_late,7,6,1,2.11,0.53,499
C00029,reliable,7,6,1,0.54,0.73,499
C00030,reliable,11,11,0,0.86,0.8,499
C00031,occasionally_late,22,20,2,1.29,0.78,499
C00032,occasionally_late,11,8,3,2.02,0.49,499
C00033,frequent_failure,5,4,1,3.87,0.49,499
C00034,reliable,6,6,0,0.9,0.97,499
C00035,reliable,8,8,0,0.85,0.96,499
C00036,frequent_failure,13,8,5,6.93,0.38,499
C00037,reliable,30,28,2,0.01,0.75,499
C00038,occasionally_late,19,15,4,1.53,0.46,499
C00039,reliable,29,27,2,0.85,0.9,499
C00040,reliable,24,20,4,0.25,0.88,499
C00041,reliable,13,12,1,0.79,0.85,499
C00042,reliable,10,9,1,0.5,0.87,499
C00043,reliable,17,16,1,0.95,0.97,499
C00044,reliable,29,26,3,0.55,0.87,499
C00045,reliable,34,34,0,0.85,0.8,499
C00046,occasionally_late,6,3,3,1.29,0.67,499
C00047,reliable,32,32,0,0.32,0.95,499
C00048,occasionally_late,10,8,2,3.43,0.73,499
C00049,churn_risk,10,9,1,11.28,0.1,499
C00050,reliable,19,19,0,0.34,0.81,499
C00051,occasionally_late,22,19,3,2.63,0.55,499
C00052,reliable,25,25,0,0.3,0.86,499
C00053,frequent_failure,14,10,4,5.29,0.44,499
C00054,reliable,8,8,0,0.73,0.99,499
C00055,reliable,22,22,0,0.43,0.92,499
C00056,reliable,35,34,1,0.7,0.82,499
C00057,reliable,7,6,1,0.09,0.75,499
C00058,occasionally_late,10,10,0,2.31,0.71,499
C00059,occasionally_late,22,21,1,1.04,0.49,499
C00060,reliable,19,17,2,0.18,0.71,499
C00061,frequent_failure,6,4,2,5.17,0.29,499
C00062,occasionally_late,5,5,0,1.05,0.78,499
C00063,occasionally_late,16,16,0,1.21,0.67,499
C00064,occasionally_late,23,20,3,2.16,0.68,499
C00065,occasionally_late,8,8,0,3.46,0.68,499
C00066,reliable,17,17,0,0.02,0.73,499
C00067,reliable,13,13,0,0.68,0.8,499
C00068,reliable,31,28,3,0.63,0.96,499
C00069,frequent_failure,6,2,4,6.75,0.43,499
C00070,reliable,23,22,1,0.58,0.96,499
C00071,reliable,28,25,3,0.75,0.73,499
C00072,occasionally_late,19,19,0,1.89,0.48,499
C00073,churn_risk,3,0,3,8.19,0.29,499
C00074,occasionally_late,18,16,2,1.28,0.66,499
C00075,reliable,26,24,2,0.79,0.73,499
C00076,reliable,36,35,1,0.74,0.86,499
C00077,churn_risk,9,2,7,11.18,0.08,499
C00078,occasionally_late,13,11,2,3.68,0.5,499
C00079,reliable,13,11,2,0.37,0.94,499
C00080,churn_risk,4,3,1,12.08,0.17,499
C00081,occasionally_late,13,13,0,1.33,0.62,499
C00082,reliable,31,28,3,0.77,0.95,499
C00083,occasionally_late,20,17,3,2.59,0.6,499
C00084,churn_risk,5,4,1,14.25,0.28,499
C00085,occasionally_late,21,15,6,1.65,0.55,499
C00086,occasionally_late,6,3,3,1.14,0.55,499
C00087,frequent_failure,14,10,4,4.68,0.21,499
C00088,reliable,33,28,5,0.08,0.99,499
C00089,occasionally_late,20,19,1,2.23,0.66,499
C00090,reliable,8,7,1,0.95,0.92,499
C00091,reliable,29,27,2,0.55,0.75,499
C00092,frequent_failure,17,10,7,5.97,0.28,499
C00093,frequent_failure,15,15,0,3.18,0.2,499
C00094,reliable,33,31,2,1.0,1.0,499
C00095,frequent_failure,7,6,1,4.89,0.23,499
C00096,reliable,18,17,1,0.23,0.9,499
C00097,reliable,13,13,0,0.5,0.84,499
C00098,reliable,6,6,0,0.56,0.96,499
C00099,reliable,20,19,1,0.78,0.89,499
C00100,churn_risk,2,1,1,10.9,0.15,499
C00101,churn_risk,4,3,1,9.51,0.28,499
C00102,occasionally_late,20,16,4,1.44,0.77,499
C00103,reliable,29,29,0,0.62,0.8,499
