payment_id,customer_id,profile,amount,failure_reason,attempt_number,subscription_months,successful_payments,failed_payments,avg_delay_days,reminder_success_rate
P000001,C04701,reliable,499,authentication_failed,1,32,11,1,0.39,0.95
P000002,C02099,occasionally_late,499,bank_error,2,10,13,4,2.03,0.69
P000003,C01888,reliable,499,bank_error,1,29,27,2,0.01,0.7
P000004,C07096,reliable,499,payment_method_issue,2,7,9,0,0.18,0.71
P000005,C02387,occasionally_late,499,insufficient_funds,1,23,18,3,2.42,0.61
P000006,C00819,reliable,499,payment_method_issue,1,14,21,1,0.18,0.88
P000007,C01952,frequent_failure,499,authentication_failed,1,16,2,3,6.24,0.3
P000008,C03597,reliable,499,bank_error,1,21,33,1,0.92,0.93
P000009,C08083,reliable,499,payment_method_issue,1,22,8,2,0.02,0.83
P000010,C02706,occasionally_late,499,bank_error,1,9,4,3,3.38,0.46
P000011,C01990,reliable,499,bank_error,1,29,23,2,0.72,0.92
P000012,C01842,occasionally_late,499,payment_method_issue,1,11,3,1,1.86,0.54
P000013,C00037,churn_risk,499,insufficient_funds,2,1,2,7,12.35,0.1
P000014,C01306,reliable,499,authentication_failed,1,12,36,1,0.78,0.76
P000015,C01150,reliable,499,bank_error,1,17,12,2,0.27,0.71
P000016,C00822,reliable,499,insufficient_funds,2,32,7,2,0.81,0.82
P000017,C06374,churn_risk,499,bank_error,1,1,4,8,12.74,0.22
P000018,C07868,churn_risk,499,insufficient_funds,1,5,6,8,11.62,0.11
P000019,C07539,reliable,499,authentication_failed,1,23,27,1,0.34,0.72
P000020,C06508,reliable,499,insufficient_funds,1,23,34,2,0.55,0.95
P000021,C00856,occasionally_late,499,bank_error,1,21,8,3,2.01,0.49
P000022,C01639,frequent_failure,499,insufficient_funds,1,17,9,5,5.67,0.44
P000023,C00602,occasionally_late,499,bank_error,2,23,18,4,1.16,0.64
P000024,C00880,occasionally_late,499,payment_method_issue,1,8,14,1,1.99,0.66
P000025,C09693,reliable,499,payment_method_issue,2,12,32,0,0.69,0.98
P000026,C06616,reliable,499,payment_method_issue,1,13,15,1,0.26,0.92
P000027,C00088,frequent_failure,499,insufficient_funds,1,4,5,7,3.42,0.5
P000028,C03190,reliable,499,bank_error,1,34,25,0,0.8,0.81
P000029,C05018,frequent_failure,499,payment_method_issue,1,18,4,3,7.64,0.35
P000030,C04468,occasionally_late,499,authentication_failed,1,19,6,1,1.41,0.71
P000031,C07797,reliable,499,bank_error,1,34,8,1,0.33,0.89
P000032,C02792,reliable,499,bank_error,2,6,35,2,0.14,0.87
P000033,C04693,reliable,499,payment_method_issue,1,26,7,0,0.96,0.82
P000034,C01205,occasionally_late,499,authentication_failed,1,9,11,1,3.46,0.64
P000035,C01974,reliable,499,payment_method_issue,1,15,10,2,0.76,0.71
P000036,C01760,churn_risk,499,insufficient_funds,1,10,2,7,8.85,0.23
P000037,C08777,occasionally_late,499,insufficient_funds,2,6,13,1,4.0,0.73
P000038,C05384,frequent_failure,499,bank_error,1,11,4,3,4.79,0.32
P000039,C05724,reliable,499,bank_error,1,18,9,0,0.9,0.74
P000040,C08742,occasionally_late,499,insufficient_funds,1,14,7,4,1.9,0.51
P000041,C05941,reliable,499,authentication_failed,1,10,30,2,0.39,0.88
