payment_id,failure_reason,selected_action,ml_probability,net_value,recovered,reason_policy_action,policy_match
P000001,authentication_failed,PAYMENT_LINK,0.6259589,190.71695810556412,0,PAYMENT_LINK,True
P000008,insufficient_funds,WAIT,0.67244685,0.0,1,WAIT,True
P000015,payment_method_issue,PAYMENT_LINK,0.923472,141.41516149044037,1,PAYMENT_LINK,True
P000030,bank_error,RETRY,0.85908127,83.96347278356552,1,RETRY,True
P000031,payment_method_issue,PAYMENT_LINK,0.712377,204.10564249753952,0,PAYMENT_LINK,True
P000033,payment_method_issue,PAYMENT_LINK,0.78276145,212.67489126324654,1,PAYMENT_LINK,True
P000044,insufficient_funds,WAIT,0.6902379,0.0,1,WAIT,True
P000045,payment_method_issue,PAYMENT_LINK,0.8956007,183.64872020483017,0,PAYMENT_LINK,True
P000046,bank_error,RETRY,0.78384084,119.71918654441833,1,RETRY,True
P000052,authentication_failed,PAYMENT_LINK,0.9207304,195.06361836194992,0,PAYMENT_LINK,True
P000053,authentication_failed,PAYMENT_LINK,0.8708352,221.23716536164284,1,PAYMENT_LINK,True
P000057,bank_error,PAYMENT_LINK,0.7310398,46.93896520137787,1,RETRY,False
P000064,bank_error,RETRY,0.823775,72.64958089590073,1,RETRY,True
P000068,payment_method_issue,PAYMENT_LINK,0.86333126,175.2777215242386,1,PAYMENT_LINK,True
P000071,payment_method_issue,PAYMENT_LINK,0.51859397,189.05900979042053,1,PAYMENT_LINK,True
P000074,bank_error,RETRY,0.7930309,71.11735504865646,1,RETRY,True
P000081,bank_error,RETRY,0.61573005,118.60355207324028,1,RETRY,True
P000088,authentication_failed,PAYMENT_LINK,0.90047604,202.27499309182167,1,PAYMENT_LINK,True
P000089,bank_error,RETRY,0.7159126,34.098497807979584,0,RETRY,True
P000094,bank_error,RETRY,0.88158303,43.11128485202789,1,RETRY,True
P000097,insufficient_funds,WAIT,0.7637441,0.0,1,WAIT,True
P000103,payment_method_issue,PAYMENT_LINK,0.7847588,166.01274597644806,1,PAYMENT_LINK,True
P000105,authentication_failed,PAYMENT_LINK,0.8044759,168.38737481832504,1,PAYMENT_LINK,True
P000109,bank_error,PAYMENT_LINK,0.6297403,52.608730256557465,1,RETRY,False
P000112,payment_method_issue,PAYMENT_LINK,0.8330758,161.33305650949478,1,PAYMENT_LINK,True
P000121,payment_method_issue,PAYMENT_LINK,0.8219936,119.24627810716629,1,PAYMENT_LINK,True
P000125,insufficient_funds,WAIT,0.6680818,0.0,1,WAIT,True
P000135,insufficient_funds,WAIT,0.7408183,0.0,1,WAIT,True
P000136,payment_method_issue,PAYMENT_LINK,0.8896797,181.2894088625908,1,PAYMENT_LINK,True
P000140,insufficient_funds,REMINDER,0.8469689,54.14070850610733,1,WAIT,False
P000142,bank_error,PAYMENT_LINK,0.8486825,51.24615687131882,1,RETRY,False
P000145,payment_method_issue,PAYMENT_LINK,0.9051691,145.2714238166809,1,PAYMENT_LINK,True
P000150,authentication_failed,PAYMENT_LINK,0.87042826,126.92620474100113,1,PAYMENT_LINK,True
P000153,authentication_failed,PAYMENT_LINK,0.8595292,201.08407980203629,1,PAYMENT_LINK,True
P000163,insufficient_funds,REMINDER,0.82504565,67.96057307720184,1,WAIT,False
P000169,insufficient_funds,WAIT,0.7212814,0.0,1,WAIT,True
P000171,payment_method_issue,PAYMENT_LINK,0.88819146,149.96979171037674,0,PAYMENT_LINK,True
P000174,bank_error,RETRY,0.64265245,57.55946433544159,0,RETRY,True
P000175,insufficient_funds,REMINDER,0.6921255,57.24016737937927,0,WAIT,False
P000176,payment_method_issue,PAYMENT_LINK,0.8908096,181.788491666317,1,PAYMENT_LINK,True
P000178,payment_method_issue,PAYMENT_LINK,0.813638,175.274895966053,0,PAYMENT_LINK,True
P000179,bank_error,RETRY,0.830976,53.19460153579712,1,RETRY,True
P000184,payment_method_issue,PAYMENT_LINK,0.87741596,191.52636155486107,1,PAYMENT_LINK,True
P000185,authentication_failed,PAYMENT_LINK,0.9063621,148.93263339996338,1,PAYMENT_LINK,True
P000189,payment_method_issue,PAYMENT_LINK,0.9301925,127.80813580751419,0,PAYMENT_LINK,True
P000193,payment_method_issue,PAYMENT_LINK,0.8133154,180.25446638464928,1,PAYMENT_LINK,True
P000195,bank_error,RETRY,0.80260056,66.46764624118805,1,RETRY,True
P000197,payment_method_issue,PAYMENT_LINK,0.9023005,130.05403816699982,1,PAYMENT_LINK,True
P000200,insufficient_funds,REMINDER,0.694461,30.032808125019073,1,WAIT,False
P000204,authentication_failed,PAYMENT_LINK,0.93120897,199.4609899520874,1,PAYMENT_LINK,True
P000211,insufficient_funds,REMINDER,0.78088665,69.09745872020721,1,WAIT,False
P000212,payment_method_issue,PAYMENT_LINK,0.90793586,166.4920498728752,1,PAYMENT_LINK,True
P000219,insufficient_funds,WAIT,0.61059386,0.0,0,WAIT,True
P000222,insufficient_funds,REMINDER,0.81066436,49.61234998703003,1,WAIT,False
P000228,insufficient_funds,REMINDER,0.8168239,31.683618187904358,1,WAIT,False
P000232,payment_method_issue,PAYMENT_LINK,0.78047127,151.4595003426075,1,PAYMENT_LINK,True
P000234,insufficient_funds,PAYMENT_LINK,0.82689553,20.17807388305664,1,WAIT,False
P000240,payment_method_issue,PAYMENT_LINK,0.8794149,148.98477238416672,0,PAYMENT_LINK,True
P000247,payment_method_issue,PAYMENT_LINK,0.72354543,147.61755913496017,1,PAYMENT_LINK,True
P000252,bank_error,RETRY,0.6334125,30.81903600692749,1,RETRY,True
P000255,insufficient_funds,WAIT,0.7742453,0.0,1,WAIT,True
P000257,insufficient_funds,REMINDER,0.7953472,38.99473512172699,0,WAIT,False
P000258,payment_method_issue,PAYMENT_LINK,0.8955161,198.77576234936714,1,PAYMENT_LINK,True
P000267,authentication_failed,PAYMENT_LINK,0.90348434,146.99786961078644,1,PAYMENT_LINK,True
P000271,authentication_failed,PAYMENT_LINK,0.8971973,165.69423121213913,1,PAYMENT_LINK,True
P000273,payment_method_issue,PAYMENT_LINK,0.7106383,150.81632894277573,1,PAYMENT_LINK,True
P000283,bank_error,RETRY,0.8678202,80.54341715574265,1,RETRY,True
P000284,payment_method_issue,PAYMENT_LINK,0.91030854,160.2247238755226,1,PAYMENT_LINK,True
P000290,payment_method_issue,PAYMENT_LINK,0.82423264,171.88667991757393,1,PAYMENT_LINK,True
P000292,authentication_failed,PAYMENT_LINK,0.8462231,198.77824586629868,1,PAYMENT_LINK,True
P000297,insufficient_funds,WAIT,0.6833015,0.0,1,WAIT,True
P000299,authentication_failed,PAYMENT_LINK,0.91959184,134.78830552101135,1,PAYMENT_LINK,True
P000310,payment_method_issue,PAYMENT_LINK,0.82220614,196.51690703630447,1,PAYMENT_LINK,True
P000314,payment_method_issue,PAYMENT_LINK,0.9566518,104.74491864442825,0,PAYMENT_LINK,True
P000315,insufficient_funds,WAIT,0.7404135,0.0,0,WAIT,True
P000319,insufficient_funds,REMINDER,0.8568697,46.61603885889053,1,WAIT,False
P000322,payment_method_issue,PAYMENT_LINK,0.73913974,245.76198428869247,1,PAYMENT_LINK,True
P000323,payment_method_issue,PAYMENT_LINK,0.89304584,129.84729653596878,1,PAYMENT_LINK,True
P000325,insufficient_funds,WAIT,0.6601597,0.0,1,WAIT,True
P000332,authentication_failed,PAYMENT_LINK,0.85765284,169.10265743732452,1,PAYMENT_LINK,True
P000333,payment_method_issue,PAYMENT_LINK,0.8569402,175.84110808372498,0,PAYMENT_LINK,True
P000344,bank_error,RETRY,0.7490792,42.81924110651016,0,RETRY,True
P000352,bank_error,RETRY,0.8651874,73.33271163702011,1,RETRY,True
P000355,authentication_failed,PAYMENT_LINK,0.80928177,206.4536962211132,0,PAYMENT_LINK,True
P000366,bank_error,RETRY,0.78767025,59.78038281202316,0,RETRY,True
P000367,bank_error,RETRY,0.8098624,75.30578404664993,1,RETRY,True
P000368,bank_error,RETRY,0.83046126,48.83155304193497,1,RETRY,True
P000369,authentication_failed,PAYMENT_LINK,0.62518793,215.5048959851265,1,PAYMENT_LINK,True
P000388,bank_error,RETRY,0.8649735,62.61676734685898,0,RETRY,True
P000394,bank_error,RETRY,0.8664346,83.31531947851181,1,RETRY,True
P000403,payment_method_issue,PAYMENT_LINK,0.7308801,168.63997972011566,0,PAYMENT_LINK,True
P000408,bank_error,RETRY,0.78752416,84.9655049443245,1,RETRY,True
P000409,bank_error,PAYMENT_LINK,0.42430586,34.30879446864128,1,RETRY,False
P000411,payment_method_issue,PAYMENT_LINK,0.7878264,221.6847337782383,1,PAYMENT_LINK,True
P000412,payment_method_issue,PAYMENT_LINK,0.78058743,209.0878600180149,1,PAYMENT_LINK,True
P000415,authentication_failed,PAYMENT_LINK,0.8944919,150.41200643777847,0,PAYMENT_LINK,True
P000416,authentication_failed,PAYMENT_LINK,0.80937153,266.0736431479454,1,PAYMENT_LINK,True
P000417,insufficient_funds,WAIT,0.5301794,0.0,1,WAIT,True
P000421,authentication_failed,PAYMENT_LINK,0.91905063,201.35021764039993,1,PAYMENT_LINK,True
P000424,payment_method_issue,PAYMENT_LINK,0.88753396,139.17910397052765,1,PAYMENT_LINK,True
P000431,insufficient_funds,REMINDER,0.7547548,21.236369609832764,1,WAIT,False
P000433,payment_method_issue,PAYMENT_LINK,0.91477716,151.44369208812714,1,PAYMENT_LINK,True
P000434,authentication_failed,PAYMENT_LINK,0.87635607,253.7712817788124,0,PAYMENT_LINK,True
P000437,payment_method_issue,PAYMENT_LINK,0.8248484,193.30253717303276,1,PAYMENT_LINK,True
P000440,payment_method_issue,PAYMENT_LINK,0.88584065,161.90337312221527,1,PAYMENT_LINK,True
P000444,authentication_failed,PAYMENT_LINK,0.82834363,239.20955947041512,1,PAYMENT_LINK,True
P000451,bank_error,RETRY,0.79534954,46.75155556201935,1,RETRY,True
P000458,payment_method_issue,PAYMENT_LINK,0.71008253,130.36651515960693,0,PAYMENT_LINK,True
P000461,bank_error,PAYMENT_LINK,0.7642636,45.31132471561432,1,RETRY,False
P000464,payment_method_issue,PAYMENT_LINK,0.7987345,182.73524698615074,1,PAYMENT_LINK,True
P000472,authentication_failed,PAYMENT_LINK,0.87378037,295.6033732891083,1,PAYMENT_LINK,True
P000473,insufficient_funds,WAIT,0.35670587,0.0,0,WAIT,True
P000479,bank_error,RETRY,0.766349,137.7041915655136,1,RETRY,True
P000480,bank_error,RETRY,0.76510763,65.70879054069519,0,RETRY,True
P000486,bank_error,RETRY,0.7845144,55.48071604967117,1,RETRY,True
P000487,authentication_failed,PAYMENT_LINK,0.9411843,104.9134111404419,1,PAYMENT_LINK,True
P000496,bank_error,RETRY,0.8391182,117.82778763771057,1,RETRY,True
P000499,insufficient_funds,REMINDER,0.82284546,63.11857759952545,1,WAIT,False
P000507,insufficient_funds,WAIT,0.72921586,0.0,0,WAIT,True
P000508,payment_method_issue,PAYMENT_LINK,0.9158838,175.77671509981155,1,PAYMENT_LINK,True
P000512,insufficient_funds,WAIT,0.576908,0.0,1,WAIT,True
P000522,payment_method_issue,PAYMENT_LINK,0.81335956,139.2994430065155,1,PAYMENT_LINK,True
P000528,insufficient_funds,WAIT,0.79572684,0.0,0,WAIT,True
P000529,insufficient_funds,PAYMENT_LINK,0.35185313,28.512726962566376,1,WAIT,False
P000533,bank_error,RETRY,0.87290263,56.7591472864151,1,RETRY,True
P000534,insufficient_funds,REMINDER,0.8958716,50.32953613996506,0,WAIT,False
P000536,bank_error,RETRY,0.82174283,33.969949781894684,1,RETRY,True
P000544,bank_error,RETRY,0.8325423,56.690144181251526,1,RETRY,True
P000545,payment_method_issue,PAYMENT_LINK,0.82952625,132.05640715360641,1,PAYMENT_LINK,True
P000555,insufficient_funds,WAIT,0.58046323,0.0,1,WAIT,True
P000556,payment_method_issue,PAYMENT_LINK,0.9117216,142.28323245048523,1,PAYMENT_LINK,True
P000558,insufficient_funds,REMINDER,0.7885861,62.17573344707489,0,WAIT,False
